1,홍길동,62,33,57,152,50.6666666667,68
2,유관순,45,8,9,62,20.6666666667,37
3,이순신,51,61,18,130,43.3333333333,37
4,강감찬,74,93,75,242,80.6666666667,47
5,김구,95,59,23,177,59,78
6,김유신,51,30,1,82,27.3333333333,96
7,홍길자,75,28,36,139,46.3333333333,15
8,홍길순,46,21,60,127,42.3333333333,15
9,길동스,73,31,15,119,39.6666666667,91
10,관순스,69,7,20,96,32,17
11,순신스,43,87,10,140,46.6666666667,31
12,Ephrayim,49,12,53,114,38,15
13,Brear,10,84,74,168,56,39
14,Lindsy,68,57,10,135,45,57
15,Mort,30,29,4,63,21,41
16,Jonas,58,76,21,155,51.6666666667,71
17,Cassondra,3,63,60,126,42,94
18,Sarine,92,13,15,120,40,55
19,Leland,9,80,7,96,32,16
20,Rudd,57,86,69,212,70.6666666667,16
21,Isidore,51,45,99,195,65,38
22,Goldi,99,72,95,266,88.6666666667,83
23,Rancell,84,23,33,140,46.6666666667,65
24,Geordie,15,35,71,121,40.3333333333,28
25,Raimund,91,92,56,239,79.6666666667,62
26,Leopold,55,52,74,181,60.3333333333,15
27,Darin,51,27,45,123,41,90
28,Jerad,50,2,45,97,32.3333333333,2
29,Marabel,71,19,60,150,50,51
30,Hervey,25,73,27,125,41.6666666667,39
31,Agretha,42,90,76,208,69.3333333333,10
32,Maura,41,71,27,139,46.3333333333,75
33,Danika,49,25,86,160,53.3333333333,25
34,Ysabel,26,36,38,100,33.3333333333,66
35,Thorstein,31,44,48,123,41,5
36,Dusty,86,100,8,194,64.6666666667,88
37,Pammi,59,8,66,133,44.3333333333,34
38,Karalynn,38,65,42,145,48.3333333333,76
39,Sky,49,39,53,141,47,18
40,Mallory,24,95,53,172,57.3333333333,32
41,Jonell,93,78,80,251,83.6666666667,97
42,Austen,71,77,63,211,70.3333333333,74
43,Aurlie,53,95,61,209,69.6666666667,89
44,Enriqueta,83,24,20,127,42.3333333333,83
45,Sula,82,79,81,242,80.6666666667,36
46,Becky,47,47,91,185,61.6666666667,52
47,Dedra,96,10,85,191,63.6666666667,56
48,Tess,43,17,76,136,45.3333333333,56
49,Ephrem,85,13,84,182,60.6666666667,67
50,Lemmie,44,48,97,189,63,78
